time_iso,offset_s,tag,type_code,priority,direction,message,state
2024-11-07T03:14:00+00:00,0.0,13-2104PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:03.190000+00:00,3.2,13-2096PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:05.100000+00:00,5.1,45-PT4831,PT,P3,,PRESSURE DEVIATION ALARM,ALM
2024-11-07T03:14:06.170000+00:00,6.2,13-2100PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:07.420000+00:00,7.4,24-LY2162A,LY,P3,,LEVEL DEVIATION ALARM,ALM
2024-11-07T03:14:08.700000+00:00,8.7,27-PT4823,PT,P3,,PRESSURE DEVIATION ALARM,ALM
2024-11-07T03:14:08.830000+00:00,8.8,13-2101PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:09.300000+00:00,9.3,24-LY2162A,LY,P3,,LEVEL DEVIATION ALARM,RTN
2024-11-07T03:14:10.800000+00:00,10.8,45-ZL4805,ZL,P4,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:11.600000+00:00,11.6,24-LY2162A,LY,P3,,LEVEL DEVIATION ALARM,ALM
2024-11-07T03:14:11.670000+00:00,11.7,71-XY2015,XY,P3,,POSITION DEVIATION ALARM,ALM
2024-11-07T03:14:11.870000+00:00,11.9,13-2103PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:12.600000+00:00,12.6,27-PT4823,PT,P3,,PRESSURE DEVIATION ALARM,RTN
2024-11-07T03:14:14.100000+00:00,14.1,24-LY2162A,LY,P3,,LEVEL DEVIATION ALARM,RTN
2024-11-07T03:14:14.660000+00:00,14.7,13-2102PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:15.600000+00:00,15.6,27-PT4823,PT,P3,,PRESSURE DEVIATION ALARM,ALM
2024-11-07T03:14:16+00:00,16.0,24-LY2162A,LY,P3,,LEVEL DEVIATION ALARM,ALM
2024-11-07T03:14:17.900000+00:00,17.9,27-PT4823,PT,P3,,PRESSURE DEVIATION ALARM,RTN
2024-11-07T03:14:18.370000+00:00,18.4,13-2098PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:18.670000+00:00,18.7,13-2430PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:20+00:00,20.0,27-PT4823,PT,P3,,PRESSURE DEVIATION ALARM,ALM
2024-11-07T03:14:21.240000+00:00,21.2,13-2099PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:21.700000+00:00,21.7,13-2430PT,PT,P3,,PROCESS DEVIATION ALARM,RTN
2024-11-07T03:14:23.520000+00:00,23.5,13-2097PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:24+00:00,24.0,13-2430PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
2024-11-07T03:14:27.700000+00:00,27.7,13-2430PT,PT,P3,,PROCESS DEVIATION ALARM,RTN
2024-11-07T03:14:29.100000+00:00,29.1,13-2430PT,PT,P3,,PROCESS DEVIATION ALARM,ALM
