drawing,folder,cluster
C025-V-HO71-P-_W-001-01,P&ID,0
U999-1-000--PT-100-01,Symbols,0
U999-1-000--PT-102-01,Symbols,0
U999-1-000--PT-103-01,Symbols,0
U999-1-000--PT-104-01,Symbols,0
U999-1-000--PT-105-01,Symbols,0
U999-1-000--PT-106-01,Symbols,0
U999-1-000--PT-107-01,Symbols,0
U999-1-000--PT-108-01,Symbols,0
U999-1-000--PT-109-01,Symbols,0
U999-1-000--PT-110-01,Symbols,0
U999-1-000--PT-112-01,Symbols,0
U999-1-000--PT-113-01,Symbols,0
U999-1-000--PT-114-01,Symbols,0
C025-V-HA24-P-_E-001-01,P&ID,1
C025-V-HB20-P-_E-001-01,P&ID,1
C025-V-HO27-P-_E-001-01,P&ID,1
C025-V-HO27-P-_E-002-01,P&ID,1
C025-V-HO27-P-_E-003-01,P&ID,1
C025-V-HO45-P-_F-001-01,P&ID,1
C025-V-HO63-P-_U-001-01,P&ID,1
C025-V-HO64-P-_U-001-01,P&ID,1
C025-W-HO11-P-_E-001-01,P&ID,1
C025-W-HO13-P-_E-004-01,P&ID,1
C025-W-HO20-P-_E-001-01,P&ID,1
C025-W-HO20-P-_E-002-01,P&ID,1
C025-W-HO64-P-_U-001-01,P&ID,1
C025-W-HO65-P-_U-002-01,P&ID,1
C025-W-HO71-P-_W-001-01,P&ID,1
C025-W-HO82-P-_U-001-01,P&ID,1
C025-W-HO82-P-_U-004-01,P&ID,1
C025-V-HO45-J-_E-103-01,SCD,2
C025-V-HO77-J-_E-102-01,SCD,2
C025-V-HO77-J-_E-104-01,SCD,2
C025-V-HO77-J-_E-106-01,SCD,2
HHP-C025-W-HO85-J-_E-001-01,SCD,2
C025-W-HO00-J-_E-010-01,SCD,3
C025-W-HO00-J-_E-010-01_A2_002,SCD Legend,3
C025-W-HO82-J-_E-006-01,SCD,3
C025-V-HO77-J-_E-105-01,SCD,4
C025-W-HO00-J-_E-020-01,SCD,4
C025-W-HO00-J-_E-030-01,SCD,4
C025-W-HO13-J-_E-001-01,SCD,4
C025-W-HO13-J-_E-002-01,SCD,4
C025-W-HO13-P-_E-014-01,P&ID,4
C025-W-HO20-J-_E-001-01,SCD,4
C025-W-HO20-J-_E-002-01,SCD,4
C025-W-HO21-J-_E-001-01,SCD,4
C025-W-HO42-J-_E-003-01,SCD,4
C025-W-HO42-J-_E-006-01,SCD,4
C025-W-HO62-J-_E-001-01,SCD,4
C025-W-HO77-J-_E-001-01,SCD,4
U999-1-000--PT-101-01,Symbols,4
U999-1-000--PT-111-01,Symbols,4
C025-V-HO27-J-_E-101-01,SCD,5
C025-V-HO27-J-_E-102-01,SCD,5
C025-V-HO45-J-_E-101-01,SCD,5
C025-V-HO45-J-_E-102-01,SCD,5
C025-W-HO24-J-_E-001-01,SCD,5
C025-W-HO27-J-_E-001-01,SCD,5
C025-W-HO42-J-_E-004-01,SCD,5
C025-W-HO43-J-_E-001-01,SCD,5
C025-V-HO82-J-_E-102-01,SCD,6
C025-V-HO82-J-_E-103-01,SCD,6
C025-V-HO85-J-_E-101-01,SCD,6
C025-W-HO82-J-_E-002-01,SCD,6
C025-W-HO82-J-_E-003-01,SCD,6
C025-W-HO00-J-_E-021-01,SCD,7
C025-W-HO00-J-_E-040-01,SCD,7
C025-W-HO63-P-_U-005-01,P&ID,7
C025-W-HO85-J-_E-001-01,SCD,7
C025-W-HO85-J-_E-003-01,SCD,7
