drawing,owner_id,kind,from_id,from_node,to_id,to_node
C025-V-HA24-P-_E-001-01,S945068B4C5AE3EDADF1793831FB5D8,signal,SCEFE61451CDD7AA81CE8E80FF2F12A,1,,
C025-V-HA24-P-_E-001-01,S65E9644F796DA2C882B4F7E82E7560,signal,S2E6AB3688B2CADFE694F3FA5854992,1,,
C025-V-HA24-P-_E-001-01,SD03BA43F7BCA6360E09D60BEFB105D,signal,S2E6AB3688B2CADFE694F3FA5854992,2,S4EFEC67917326079B117AC81CEB738,1
C025-V-HA24-P-_E-001-01,S331A9F9F3BD78A9811D0013B67DC45,signal,SCEFE61451CDD7AA81CE8E80FF2F12A,2,S96D48AEE3FBA6C2C5EE009F8F26927,2
C025-V-HA24-P-_E-001-01,S8E7D44E143A82453C1BB328009D7F8,process,S1C26EF1778B86ED7AC56AFE222098D,1,SE6E35107961F3844E08298C5380F02,3
C025-V-HA24-P-_E-001-01,SD5202622C836E7D909C8DC36592BA7,process,S251B759F2D11B566C45D6C6D58ECA5,1,S1C26EF1778B86ED7AC56AFE222098D,2
C025-V-HA24-P-_E-001-01,SB1276FCBE53E581460A5B69EE1B5DA,process,S65FA8A235092168499B6C288A16C0D,1,SE6E35107961F3844E08298C5380F02,2
C025-V-HA24-P-_E-001-01,S1C3AD75CBB8A241E09758D0A27195E,process,SE6E35107961F3844E08298C5380F02,1,S7A9899C71E77054839AA3B524357A4,1
C025-V-HA24-P-_E-001-01,S5356E9834842ED563BC7D2BE99CEC2,process,S510AD4F5F11BDF9DE003CD35E9A74D,1,SEF761B71B92AA7DB8855709CD0BD81,3
C025-V-HA24-P-_E-001-01,SB7827AD83A1CB40A0F4AC4B1092D2E,process,SEF761B71B92AA7DB8855709CD0BD81,1,S1DFB6C9913A1A73C43472B86961F3C,3
C025-V-HA24-P-_E-001-01,SED324E6CFFE8BBE3B3710BE6C7A677,process,SEF761B71B92AA7DB8855709CD0BD81,2,SD8865133F3E7053DF5BC94D3EB6FF2,1
C025-V-HA24-P-_E-001-01,SD1A1B004B07FEBE818E6BE345A58FE,process,S1DFB6C9913A1A73C43472B86961F3C,2,SD2C6F80CEB3918BB82FB3A2ACE3071,1
C025-V-HA24-P-_E-001-01,S6890EDADE405B0BBC8B3A92394BE05,process,S3E0927E9033A42B946F5573AC5583D,1,S510AD4F5F11BDF9DE003CD35E9A74D,3
C025-V-HA24-P-_E-001-01,SE20642C0B6731A27FE099C691ADAA3,process,S6C4DB1333AFEA6EEF749432991EE2A,1,S3E0927E9033A42B946F5573AC5583D,3
C025-V-HA24-P-_E-001-01,S12C36A1753FBD065DDACBC6720C095,process,S510AD4F5F11BDF9DE003CD35E9A74D,2,S6F041F660CC3C365ABEC3A170EEA67,2
