drawing,id,category,component_class,tag_name,x_mm,y_mm
C025-V-HA24-P-_E-001-01,SF08814D273B6CD5CDADCF499907732,nozzle,Nozzle,,0.0,0.0
C025-V-HA24-P-_E-001-01,S481760BEB8CEA0809987BC61357C2B,equipment,CustomEquipment,,0.0,0.0
C025-V-HA24-P-_E-001-01,SCAD8983B25D79877CB26F8D53ABD12,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,SA09DE6C579D12870CA03B662DA18CA,equipment,Pump,,0.0,0.0
C025-V-HA24-P-_E-001-01,S90204EC07231ABFC65069F53D9140D,piping_component,GateValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S61274C0F8F183D7C3F4C7D6D0D53B5,piping_component,GlobeValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S7847B28E3AE9898D9488CFD5500B1E,piping_component,GlobeValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S8258279C1F43F084C4AC50D02AAB5D,piping_component,GlobeValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S180FDC5221495C254FDEC27AB70BFE,piping_component,GlobeValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S34E86B28CBF55F982CCC5229CFF94C,piping_component,GateValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S4AA80B20CBF29AD635EF5B99F8EB67,actuator,ControlledActuator,,0.0,0.0
C025-V-HA24-P-_E-001-01,SE9CB96070B8A61F3E44D2607F31A02,piping_component,GateValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,SCA055C18B1B95619CFD6EF814F3120,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,S74CC77D0D6CA85B30F1FF4495BFA95,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD01E9CEF2143E691A1709AA3DA3B12,piping_component,AngleValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S97C9B9C8DF840E549E696D354EE08F,actuator,ControlledActuator,,0.0,0.0
C025-V-HA24-P-_E-001-01,S18D99536CC6251DDD47782DF1943B8,piping_component,CheckValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S662E3DAC2C065D00FB31289AECB3BB,piping_component,GlobeValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD0CACFD9611E9C5DD276F2D4EB5CE7,piping_component,PipeReducer,,0.0,0.0
C025-V-HA24-P-_E-001-01,S9F75030CABF0D24765ECEAD66E49FA,actuator,ControlledActuator,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD7D1DA11C2DB9A401C66D2EDA748CA,signal_off_page,FlowInSignalOffPageConnector,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD3D960B8B28EA4D77A8BFBC8E8F0D3,pipe_off_page,FlowOutPipeOffPageConnector,,0.0,0.0
C025-V-HA24-P-_E-001-01,S8C484C3B56E169D61A5F59A7360FF4,pipe_off_page,FlowInPipeOffPageConnector,,0.0,0.0
C025-V-HA24-P-_E-001-01,SA78573E89D7C8412C563FF18EEB574,actuator,ControlledActuator,,0.0,0.0
C025-V-HA24-P-_E-001-01,SE8C62441707896E88A95DAFAF93F9B,piping_component,PipeReducer,,0.0,0.0
C025-V-HA24-P-_E-001-01,SC7B0FBC614BDEDED69455265ABFE77,piping_component,GateValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,SA3EEC34D67E32AF57D7D2474AFE18B,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,S72206AC7C2CD5A05F8D18B350DDE44,nozzle,Nozzle,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD2C3C20A634F7EE66192D11C9125EF,nozzle,Nozzle,,0.0,0.0
C025-V-HA24-P-_E-001-01,S699255CA4FD5BD40141813E19EBE96,nozzle,Nozzle,,0.0,0.0
C025-V-HA24-P-_E-001-01,S554A930B99076687E808182F7B3081,nozzle,Nozzle,,0.0,0.0
C025-V-HA24-P-_E-001-01,S30961770FC45800278F17E9535A7A5,piping_component,PipeReducer,,0.0,0.0
C025-V-HA24-P-_E-001-01,S9C5AC050D79BF301DA849CFF5AB260,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,S4C7C3455F68EDF171326F3760D3024,piping_component,FlowMeasuringElement,,0.0,0.0
C025-V-HA24-P-_E-001-01,S39C96745CBDC492B49A9838B2C4217,actuator,ControlledActuator,,0.0,0.0
C025-V-HA24-P-_E-001-01,SB2C0BFE0CF39EFEBE94AAA985DA876,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,SF2FD65227207A2C39E51229E6C901F,piping_component,GateValve,,0.0,0.0
C025-V-HA24-P-_E-001-01,S19DFC06D950A5366DDDA699564D81D,piping_component,FlangedConnection,,0.0,0.0
C025-V-HA24-P-_E-001-01,S8E547768521B3C2DC1B81C42268BFB,piping_component,Flange,,0.0,0.0
C025-V-HA24-P-_E-001-01,S2774155CD821C00F677A654E1BBC8C,piping_component,PipeTee,,0.0,0.0
C025-V-HA24-P-_E-001-01,SCAD8983B25D79877CB26F8D53ABD121,instrument,ProcessInstrumentationFunction,,0.0,0.0
C025-V-HA24-P-_E-001-01,SD16169F96CA45FCF3C006E8DBCFD2F,instrument_loop,InstrumentationLoopFunction,,254.48,339.722
C025-V-HA24-P-_E-001-01,S671DC19C631A477C122E22A476B335,instrument_loop,InstrumentationLoopFunction,,653.582,364.046
C025-V-HA24-P-_E-001-01,SB95A3D3E9B6CD9083B24BE5059B349,instrument_loop,InstrumentationLoopFunction,,302.013,344.761
C025-V-HA24-P-_E-001-01,SB1F19DA35808633A7B5216792B4A73,instrument_loop,InstrumentationLoopFunction,,586.244,244.88
C025-V-HA24-P-_E-001-01,S9D257B78182F1AAE3CCDBB87D6DACB,instrument_loop,InstrumentationLoopFunction,,587.716,337.919
C025-V-HA24-P-_E-001-01,SA93C5428D8F071A6F034971E6A67FF,instrument_loop,InstrumentationLoopFunction,,167.972,244.556
C025-V-HA24-P-_E-001-01,S3A003BFCE36D40F6D2F92DCAC97A8C,instrument_loop,InstrumentationLoopFunction,,167.972,334.748
