drawing,n_truth,n_pred,true_positives,false_positives,false_negatives,precision,recall,f1,type_accuracy
C025-V-HA24-P-_E-001-01,10,8,4,4,6,0.5,0.4,0.4444444444444445,1.0
C025-V-HO27-P-_E-001-01,27,7,4,3,23,0.5714285714285714,0.14814814814814814,0.23529411764705882,1.0
C025-V-HO27-P-_E-002-01,25,4,3,1,22,0.75,0.12,0.20689655172413793,1.0
C025-V-HO27-P-_E-003-01,0,0,0,0,0,,,,
C025-V-HO45-P-_F-001-01,13,4,2,2,11,0.5,0.15384615384615385,0.23529411764705882,1.0
C025-V-HO63-P-_U-001-01,0,0,0,0,0,,,,
C025-V-HO64-P-_U-001-01,0,0,0,0,0,,,,
C025-V-HO71-P-_W-001-01,0,0,0,0,0,,,,
C025-W-HO11-P-_E-001-01,0,0,0,0,0,,,,
C025-W-HO13-P-_E-004-01,51,2,1,1,50,0.5,0.0196078431372549,0.03773584905660377,1.0
C025-W-HO20-P-_E-001-01,8,4,2,2,6,0.5,0.25,0.3333333333333333,1.0
C025-W-HO20-P-_E-002-01,21,1,1,0,20,1.0,0.047619047619047616,0.0909090909090909,1.0
C025-W-HO63-P-_U-005-01,2,2,2,0,0,1.0,1.0,1.0,1.0
C025-W-HO64-P-_U-001-01,13,1,0,1,13,0.0,0.0,,
C025-V-HA24-P-_E-001-01,10,8,4,4,6,0.5,0.4,0.4444444444444445,1.0
C025-V-HO27-P-_E-001-01,27,7,4,3,23,0.5714285714285714,0.14814814814814814,0.23529411764705882,1.0
C025-V-HO27-P-_E-002-01,25,4,3,1,22,0.75,0.12,0.20689655172413793,1.0
C025-V-HO27-P-_E-003-01,0,0,0,0,0,,,,
C025-V-HO45-P-_F-001-01,13,4,2,2,11,0.5,0.15384615384615385,0.23529411764705882,1.0
C025-V-HO63-P-_U-001-01,0,0,0,0,0,,,,
C025-V-HO64-P-_U-001-01,0,0,0,0,0,,,,
C025-V-HO71-P-_W-001-01,0,0,0,0,0,,,,
C025-W-HO11-P-_E-001-01,0,0,0,0,0,,,,
C025-W-HO13-P-_E-004-01,51,2,1,1,50,0.5,0.0196078431372549,0.03773584905660377,1.0
C025-W-HO20-P-_E-001-01,8,4,2,2,6,0.5,0.25,0.3333333333333333,1.0
C025-W-HO20-P-_E-002-01,21,1,1,0,20,1.0,0.047619047619047616,0.0909090909090909,1.0
C025-W-HO63-P-_U-005-01,2,2,2,0,0,1.0,1.0,1.0,1.0
C025-W-HO64-P-_U-001-01,13,1,0,1,13,0.0,0.0,,
