name,folder,type,size_kb,pages,text_chars,readable
C025-V-HA24-P-_E-001-01.DGN,P&ID,dgn,111.5,,,
C025-V-HA24-P-_E-001-01.PDF,P&ID,pdf,104.3,1.0,2374.0,True
C025-V-HB20-P-_E-001-01.PDF,P&ID,pdf,135.5,1.0,2417.0,True
C025-V-HO27-P-_E-001-01.DGN,P&ID,dgn,162.5,,,
C025-V-HO27-P-_E-001-01.PDF,P&ID,pdf,244.7,1.0,6158.0,True
C025-V-HO27-P-_E-002-01.DGN,P&ID,dgn,165.5,,,
C025-V-HO27-P-_E-002-01.PDF,P&ID,pdf,236.5,1.0,5457.0,True
C025-V-HO27-P-_E-003-01.DGN,P&ID,dgn,195.0,,,
C025-V-HO27-P-_E-003-01.PDF,P&ID,pdf,379.4,1.0,4100.0,True
C025-V-HO45-P-_F-001-01.DGN,P&ID,dgn,123.0,,,
C025-V-HO45-P-_F-001-01.PDF,P&ID,pdf,169.8,1.0,4350.0,True
C025-V-HO63-P-_U-001-01.DGN,P&ID,dgn,71.5,,,
C025-V-HO63-P-_U-001-01.PDF,P&ID,pdf,131.0,1.0,1738.0,True
C025-V-HO64-P-_U-001-01.DGN,P&ID,dgn,67.0,,,
C025-V-HO64-P-_U-001-01.PDF,P&ID,pdf,106.0,1.0,1749.0,True
C025-V-HO71-P-_W-001-01.DGN,P&ID,dgn,64.0,,,
C025-V-HO71-P-_W-001-01.PDF,P&ID,pdf,100.7,1.0,1000.0,True
C025-W-HO11-P-_E-001-01.DGN,P&ID,dgn,102.5,,,
C025-W-HO11-P-_E-001-01.PDF,P&ID,pdf,40.9,1.0,1833.0,True
C025-W-HO13-P-_E-004-01.DGN,P&ID,dgn,198.0,,,
C025-W-HO13-P-_E-004-01.PDF,P&ID,pdf,295.0,1.0,7433.0,True
C025-W-HO13-P-_E-014-01.DGN,P&ID,dgn,138.5,,,
C025-W-HO13-P-_E-014-01.PDF,P&ID,pdf,41.5,1.0,5523.0,True
C025-W-HO20-P-_E-001-01.DGN,P&ID,dgn,104.5,,,
C025-W-HO20-P-_E-001-01.PDF,P&ID,pdf,139.6,1.0,4144.0,True
C025-W-HO20-P-_E-002-01.DGN,P&ID,dgn,232.5,,,
C025-W-HO20-P-_E-002-01.PDF,P&ID,pdf,312.9,1.0,7541.0,True
C025-W-HO50-P-_F-001-01.DGN,P&ID,dgn,120.5,,,
C025-W-HO63-P-_U-005-01.DGN,P&ID,dgn,113.5,,,
C025-W-HO63-P-_U-005-01.PDF,P&ID,pdf,228.6,1.0,1521.0,True
C025-W-HO64-P-_U-001-01.DGN,P&ID,dgn,139.5,,,
C025-W-HO64-P-_U-001-01.PDF,P&ID,pdf,333.2,1.0,2365.0,True
C025-W-HO64-P-_U-002-01.DGN,P&ID,dgn,180.5,,,
C025-W-HO65-P-_U-002-01.PDF,P&ID,pdf,235.5,1.0,1457.0,True
C025-W-HO71-P-_W-001-01.DGN,P&ID,dgn,150.0,,,
C025-W-HO71-P-_W-001-01.PDF,P&ID,pdf,328.8,1.0,1949.0,True
C025-W-HO82-P-_U-001-01.DGN,P&ID,dgn,141.0,,,
C025-W-HO82-P-_U-001-01.PDF,P&ID,pdf,207.1,1.0,4154.0,True
C025-W-HO82-P-_U-004-01.DGN,P&ID,dgn,274.0,,,
C025-W-HO82-P-_U-004-01.PDF,P&ID,pdf,110.6,1.0,2861.0,True
C025-V-HO00-J-_E-021-02.DGN,SCD,dgn,294.0,,,
C025-V-HO00-J-_E-021-02.PDF,SCD,pdf,218.2,1.0,3.0,True
C025-V-HO00-J-_E-025-01.DGN,SCD,dgn,383.5,,,
C025-V-HO00-J-_E-025-01.PDF,SCD,pdf,94.0,1.0,0.0,True
C025-V-HO00-J-_E-101-01.DGN,SCD,dgn,457.5,,,
C025-V-HO00-J-_E-101-01.PDF,SCD,pdf,105.1,1.0,0.0,True
C025-V-HO20-J-_E-001-02.DGN,SCD,dgn,457.5,,,
C025-V-HO20-J-_E-001-02.PDF,SCD,pdf,182.1,1.0,12.0,True
C025-V-HO27-J-_E-101-01.DGN,SCD,dgn,247.5,,,
C025-V-HO27-J-_E-101-01.PDF,SCD,pdf,179.5,1.0,4870.0,True
C025-V-HO27-J-_E-102-01.DGN,SCD,dgn,177.0,,,
C025-V-HO27-J-_E-102-01.PDF,SCD,pdf,118.4,1.0,3188.0,True
C025-V-HO27-J-_E-103-01.DGN,SCD,dgn,570.5,,,
C025-V-HO27-J-_E-103-01.PDF,SCD,pdf,200.3,1.0,20.0,True
C025-V-HO45-J-_E-101-01.DGN,SCD,dgn,271.5,,,
C025-V-HO45-J-_E-101-01.PDF,SCD,pdf,180.7,1.0,5100.0,True
C025-V-HO45-J-_E-102-01.DGN,SCD,dgn,254.5,,,
C025-V-HO45-J-_E-102-01.PDF,SCD,pdf,265.1,1.0,4565.0,True
C025-V-HO45-J-_E-103-01.PDF,SCD,pdf,87.0,13.0,17715.0,True
C025-V-HO53-J-_E-101-01.DGN,SCD,dgn,509.0,,,
C025-V-HO53-J-_E-101-01.PDF,SCD,pdf,174.3,1.0,76.0,True
C025-V-HO53-J-_E-102-01.DGN,SCD,dgn,603.0,,,
C025-V-HO53-J-_E-102-01.PDF,SCD,pdf,211.4,1.0,0.0,True
C025-V-HO53-J-_E-102-02.DGN,SCD,dgn,682.0,,,
C025-V-HO53-J-_E-102-02.PDF,SCD,pdf,132.3,1.0,0.0,True
C025-V-HO53-J-_E-102-03.DGN,SCD,dgn,641.0,,,
