drawing,fluid_code,n_segments
C025-V-HA24-P-_E-001-01,PL,25
C025-V-HO27-P-_E-001-01,PV,54
C025-V-HO27-P-_E-001-01,VF,10
C025-V-HO27-P-_E-001-01,DC,1
C025-V-HO27-P-_E-001-01,PL,5
C025-V-HO27-P-_E-002-01,DO,1
C025-V-HO27-P-_E-002-01,VF,9
C025-V-HO27-P-_E-002-01,PV,15
C025-V-HO27-P-_E-002-01,WS,62
C025-V-HO27-P-_E-003-01,WS,29
C025-V-HO27-P-_E-003-01,WD,3
C025-V-HO27-P-_E-003-01,OH,2
C025-V-HO27-P-_E-003-01,GE,1
C025-V-HO27-P-_E-003-01,OL,19
C025-V-HO27-P-_E-003-01,PV,1
C025-V-HO27-P-_E-003-01,DO,35
C025-V-HO27-P-_E-003-01,VA,21
C025-V-HO27-P-_E-003-01,VF,1
C025-V-HO27-P-_E-003-01,AI,5
C025-V-HO27-P-_E-003-01,DC,3
C025-V-HO27-P-_E-003-01,GI,6
C025-V-HO27-P-_E-003-01,GF,2
C025-V-HO45-P-_F-001-01,VF,13
C025-V-HO45-P-_F-001-01,DO,1
C025-V-HO45-P-_F-001-01,PV,3
C025-V-HO45-P-_F-001-01,DC,12
C025-V-HO45-P-_F-001-01,VA,9
C025-V-HO45-P-_F-001-01,GF,33
C025-V-HO63-P-_U-001-01,WS,4
C025-V-HO63-P-_U-001-01,AI,27
C025-V-HO63-P-_U-001-01,DO,7
C025-V-HO64-P-_U-001-01,DO,2
C025-V-HO64-P-_U-001-01,VA,1
C025-V-HO64-P-_U-001-01,GI,7
C025-V-HO64-P-_U-001-01,AI,2
C025-V-HO71-P-_W-001-01,WF,148
C025-W-HO11-P-_E-001-01,PV,1
C025-W-HO11-P-_E-001-01,PL,1
C025-W-HO11-P-_E-001-01,WS,3
C025-W-HO11-P-_E-001-01,AP,1
C025-W-HO13-P-_E-004-01,OH,2
C025-W-HO13-P-_E-004-01,PT,40
C025-W-HO13-P-_E-004-01,DO,1
C025-W-HO13-P-_E-004-01,CC,5
C025-W-HO13-P-_E-004-01,CG,17
C025-W-HO13-P-_E-004-01,CA,4
C025-W-HO20-P-_E-001-01,PT,61
C025-W-HO20-P-_E-001-01,PI,12
C025-W-HO20-P-_E-001-01,VF,29
C025-W-HO20-P-_E-001-01,CA,1
C025-W-HO20-P-_E-001-01,DC,2
C025-W-HO20-P-_E-001-01,MK,11
C025-W-HO20-P-_E-002-01,DO,4
C025-W-HO20-P-_E-002-01,DC,30
C025-W-HO20-P-_E-002-01,PL,24
C025-W-HO20-P-_E-002-01,VF,17
C025-W-HO20-P-_E-002-01,PT,6
C025-W-HO20-P-_E-002-01,CC,3
C025-W-HO20-P-_E-002-01,PV,5
C025-W-HO20-P-_E-002-01,WI,15
C025-W-HO50-P-_F-001-01,WS,48
C025-W-HO63-P-_U-005-01,AP,54
C025-W-HO63-P-_U-005-01,AI,2
C025-W-HO64-P-_U-001-01,GI,80
C025-W-HO64-P-_U-001-01,VA,1
C025-W-HO71-P-_W-001-01,WF,116
C025-W-HO71-P-_W-001-01,WS,8
C025-W-HO82-P-_U-001-01,WS,13
C025-W-HO82-P-_U-001-01,OL,20
C025-W-HO82-P-_U-001-01,OF,9
C025-W-HO82-P-_U-001-01,DO,22
C025-W-HO82-P-_U-001-01,WC,10
