drawing,folder,system,tag_type,tag,description
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4804,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4805,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,TT,27-TT 4806,Temperaturtransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,XV,27-XV 4813,Aktuert ventil
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,XV,27-XV 4814,Aktuert ventil
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4803,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,FT,27-FT 4801,Mengdetransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4823,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,XV,27-XV 4826,Aktuert ventil
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,XV,27-XV 4828,Aktuert ventil
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4825,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4250B,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4252A,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4552B,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4250A,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PDT,27-PDT 4812,Differansetrykk-transmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,27,PT,27-PT 4807,Trykktransmitter
C025-V-HO27-J-_E-101-01,Huldra SCD's,63,XV,63-XV 4800,Aktuert ventil
C025-V-HO27-J-_E-101-01,Huldra SCD's,,PI,PI 4805,Trykkindikator
C025-V-HO27-J-_E-101-01,Huldra SCD's,,TI,TI 4806,Temperaturindikator
C025-V-HO27-J-_E-101-01,Huldra SCD's,,PI,PI 4804,Trykkindikator
C025-V-HO27-J-_E-101-01,Huldra SCD's,,HS,HS 4813,Handbryter
C025-V-HO27-J-_E-101-01,Huldra SCD's,,HS,HS 4826,Handbryter
C025-V-HO27-J-_E-101-01,Huldra SCD's,,HS,HS 4828,Handbryter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,XV,50-XV 4805,Aktuert ventil
C025-V-HO27-J-_E-102-01,Huldra SCD's,27,TT,27-TT 4820,Temperaturtransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,27,TT,27-TT 4821,Temperaturtransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,27,TT,27-TT 4816,Temperaturtransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,FT,50-FT 4810,Mengdetransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,PT,50-PT 4804,Trykktransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,XS,50-XS 4801,Bryter (div.)
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,TT,50-TT 4803,Temperaturtransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,PT,50-PT 4802,Trykktransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,PT,50-PT 4801,Trykktransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,FT,50-FT 4807,Mengdetransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,50,PT,50-PT 4806,Trykktransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,27,FT,27-FT 2050,Mengdetransmitter
C025-V-HO27-J-_E-102-01,Huldra SCD's,,PI,PI 4806,Trykkindikator
C025-V-HO27-J-_E-102-01,Huldra SCD's,,FI,FI 4807,Mengdeindikator
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,XV,45-XV 4820,Aktuert ventil
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,XV,45-XV 4821,Aktuert ventil
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,XV,45-XV 4822,Aktuert ventil
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,HV,45-HV 4824,Handventil (fjernstyrt)
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,XV,45-XV 4829,Aktuert ventil
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,TI,45-TI 4848,Temperaturindikator
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,TI,45-TI 4842,Temperaturindikator
C025-V-HO45-J-_E-101-01,Huldra SCD's,45,XV,45-XV 4806,Aktuert ventil
C025-V-HO45-J-_E-101-01,Huldra SCD's,,ZSL,ZSL 4820,Posisjonsbryter (lukket)
C025-V-HO45-J-_E-101-01,Huldra SCD's,,HS,HS 4831,Handbryter
C025-V-HO45-J-_E-101-01,Huldra SCD's,,HS,HS 4854,Handbryter
C025-V-HO45-J-_E-101-01,Huldra SCD's,,ZSH,ZSH 4842,Posisjonsbryter (aapen)
C025-V-HO45-J-_E-101-01,Huldra SCD's,,TI,TI 4822,Temperaturindikator
C025-V-HO45-J-_E-101-01,Huldra SCD's,,HS,HS 4856,Handbryter
C025-V-HO45-J-_E-101-01,Huldra SCD's,,TI,TI 4829,Temperaturindikator
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,ZSL,45-ZSL 4809,Posisjonsbryter (lukket)
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4804,Aktuert ventil
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4805,Aktuert ventil
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4806A,Aktuert ventil
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,TI,45-TI 4850,Temperaturindikator
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,TI,45-TI 4842,Temperaturindikator
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4830,Aktuert ventil
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4823,Aktuert ventil
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,HV,45-HV 4825,Handventil (fjernstyrt)
C025-V-HO45-J-_E-102-01,Huldra SCD's,45,XV,45-XV 4806,Aktuert ventil
