name,class,kind,tag,x,y
T00001,,CellHeader,53-LALL20166,102.4,118.1
T00001,,CellHeader,53-XY20211,106.2,52.1
T00001,,CellHeader,53-XY20222,88.4,52.1
T00001,,CellHeader,53-XY20411,125.3,51.6
T00001,,CellHeader,53-LALL20266,121.5,118.1
T00001,,CellHeader,53-LAHH20166,203.5,118.1
T00001,,CellHeader,50-XY20100,207.3,52.1
T00001,,CellHeader,50-XY20100,189.5,52.1
T00001,,CellHeader,53-XY20855,226.4,51.6
T00001,,CellHeader,53-LAHH20266,222.6,118.1
T00001,,CellHeader,53-LAHH20266,238.7,118.1
T00001,,CellHeader,53-XY20866,143.7,51.9
T00001,,CellHeader,20-XY20088,75.7,635.2
T00001,,CellHeader,20-XY20088,98.6,635.4
T00001,,CellHeader,27-FY4811C,121.4,635.4
T00001,,CellHeader,27-XY48133,144.3,635.4
T00001,,CellHeader,27-XY48144,167.1,635.4
T00001,,CellHeader,27-XY48266,190.0,635.4
T00001,,CellHeader,,606.6,635.4
T00001,,CellHeader,20-XY20088,83.3,556.5
T00001,,CellHeader,20-XY20088,106.2,556.7
T00001,,CellHeader,27-FY4811C,129.0,556.7
T00001,,CellHeader,27-XY48133,151.9,556.7
T00001,,CellHeader,27-XY48144,174.8,556.7
T00001,,CellHeader,27-XY48266,197.6,556.7
T00001,,CellHeader,27-XY48288,220.5,556.7
T00001,,CellHeader,24-XY21566,502.9,479.4
T00001,,CellHeader,27-FSH4254,413.5,635.4
T00001,,CellHeader,27-FSH4255,441.5,635.4
T00001,,CellHeader,27-FSH4255,469.4,635.4
T00001,,CellHeader,,525.3,635.4
T00001,,CellHeader,,581.2,635.4
T00001,,CellHeader,50-XY48111,948.0,480.5
T00001,,CellHeader,,909.9,559.2
T00001,,CellHeader,,930.2,559.2
T00001,,CellHeader,50-XY48111,955.6,559.2
T00001,,CellHeader,,981.0,559.2
T00001,,CellHeader,,1006.4,559.2
T00001,,CellHeader,50-XY48055,840.7,560.7
T00001,,CellHeader,,248.4,635.4
T00001,,CellHeader,,271.3,635.4
T00001,,CellHeader,50-XA48011,294.1,635.4
T00001,,CellHeader,50-XA48011,327.2,635.4
T00001,,CellHeader,,258.6,559.2
T00001,,CellHeader,,281.4,559.2
T00001,,CellHeader,27-XY22400,304.3,559.2
T00001,,CellHeader,27-XY22400,337.3,559.2
T00001,,CellHeader,27-XY22400,314.5,480.5
T00001,,CellHeader,50-XA48011,362.7,635.4
T00001,,CellHeader,27-XY22031,375.4,556.7
VETHOF,,CellHeader,,872.8,114.1
(uten navn),,CellHeader,,891.0,113.1
(uten navn),,CellHeader,,875.4,113.1
(uten navn),,CellHeader,,858.7,113.2
T00001,,CellHeader,64-FE53A,363.2,324.5
T00001,,CellHeader,,426.3,558.8
T00001,,CellHeader,,454.2,558.8
T00001,,CellHeader,24-XY21566,482.1,558.8
T00001,,CellHeader,24-XY21566,538.0,558.8
T00001,,CellHeader,,593.9,558.8
T00001,,CellHeader,,340.4,411.5
T00001,,CellHeader,64-XY4001T,609.6,409.6
T00001,,CellHeader,64-KB50A,497.8,212.7
T00001,,CellHeader,64-KB50B,525.7,213.6
T00001,,CellHeader,64-XY40146,553.6,213.6
T00001,,CellHeader,,574.2,309.9
T00001,,CellHeader,64-XY4001T,602.0,329.6
T00001,,CellHeader,64-XY4015T,581.6,213.6
T00001,,CellHeader,64-XY4015T,609.6,213.6
T00001,,CellHeader,,637.5,213.6
T00001,,CellHeader,,546.2,309.9
T00001,,CellHeader,,518.3,309.9
(uten navn),,CellHeader,,497.9,297.0
T00001,,CellHeader,,493.4,297.2
(uten navn),,CellHeader,64-KB50B,525.9,281.9
T00001,,CellHeader,64-KB50B,521.3,281.9
T00001,,CellHeader,64-XY40276,406.4,324.5
T00001,,CellHeader,64-FE53B,386.1,324.5
T00001,,CellHeader,,497.8,301.6
T00001,,CellHeader,64-KB50B,525.8,286.4
T00001,,CellHeader,,403.9,410.8
T00001,,CellHeader,,431.8,410.8
T00001,,CellHeader,,454.7,332.1
T00001,,CellHeader,,482.6,332.1
T00001,,CellHeader,,497.3,635.4
T00001,,CellHeader,24-XY21566,510.1,558.8
T00001,,CellHeader,,553.2,635.4
T00001,,CellHeader,,566.0,558.8
(uten navn),,CellHeader,64-FE53A,363.3,398.6
T00001,,CellHeader,64-FE53A,358.8,398.8
(uten navn),,CellHeader,64-FE53B,386.2,390.9
T00001,,CellHeader,64-FE53B,381.6,391.2
T00001,,CellHeader,,764.5,635.2
T00001,,CellHeader,,795.0,464.2
(uten navn),,CellHeader,64-FE52A,630.0,390.9
(uten navn),,CellHeader,64-FE52B,658.0,396.0
T00001,,CellHeader,64-FE52A,629.9,329.6
T00001,,CellHeader,64-FE52B,657.9,329.6
T00001,,CellHeader,,644.5,650.2
T00001,,CellHeader,,632.5,635.0
T00001,,CellHeader,,635.7,650.2
T00001,,CellHeader,,640.1,559.1
T00001,,CellHeader,,692.7,650.2
T00001,,CellHeader,,680.7,635.0
T00001,,CellHeader,,684.0,650.2
T00001,,CellHeader,,688.3,559.1
T00001,,CellHeader,45-XY4820,749.3,375.3
T00001,,CellHeader,45-XY4821,777.2,375.3
T00001,,CellHeader,45-XY4822,805.2,375.3
T00001,,CellHeader,45-XY4823,833.1,375.3
T00001,,CellHeader,45-XY4822,805.2,375.3
T00001,,CellHeader,45-XY4845A,861.1,375.3
T00001,,CellHeader,45-XY4845B,889.0,375.3
T00001,,CellHeader,45-XY4829B,916.9,375.3
T00001,,CellHeader,45-XY4830B,944.9,375.3
T00001,,CellHeader,45-XY4804B,972.8,375.3
T00001,,CellHeader,45-XY4805B,1000.8,375.3
T00001,,CellHeader,64-FE53A,363.2,403.2
T00001,,CellHeader,64-FE53B,386.1,395.6
T00001,,CellHeader,64-FE52A,634.4,391.2
T00001,,CellHeader,64-FE52B,662.3,396.2
T00001,,CellHeader,64-FE52A,630.0,395.5
T00001,,CellHeader,64-FE52B,658.0,400.6
T00001,,CellHeader,,792.4,635.2
T00001,,CellHeader,50-XY48055,848.3,635.2
T00001,,CellHeader,50-XY48055,820.4,635.2
T00001,,CellHeader,,876.3,635.2
T00001,,CellHeader,45-XY4806A,1028.7,375.3
T00001,,CellHeader,50-XA48011,314.5,640.3
T00001,,CellHeader,50-XA48011,347.5,640.3
T00001,,CellHeader,,551.2,409.9
