tag,issue,severity,note
20-PV2201,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-FT0848,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-HS4825,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-LSL0548,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-LSL548,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-PIC4111,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-PT4250B,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-PT4552B,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
63-XV4800,"in SCD logic, not found on P&ID",review,"missing tag, extraction miss, or different system"
27-FI4801,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FO4827,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FO4829,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FT4801,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FV4811,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FY4811A,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FY4811B,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-FY4811C,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-HS4811,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-HS4813,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-HS4814,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-HS4826,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-HS4828,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PDI4812,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PI4804,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PI4805,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PI4807,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PI4823,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PIC4803,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PIC4825B,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PSE4254,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PSE4255,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PSV4809,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PSV4810,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PT4252A,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PT4807,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PT4823,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PV4803,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-PY4803,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-TI4806,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-XY4813,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-XY4814,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-XY4826,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-XY4828,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZL4813,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZL4814,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZL4826,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZL4828,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZS4813,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZS4814,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZS4826,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
27-ZS4828,"on P&ID, no role in SCD logic",info,"often expected (local indicator, position switch, relief)"
