node,node_members,parameter,deviation,causes,consequences,safeguards,recommendation,action_party,status
27-CS51-section,"27-CS51, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CX54, 27-CZ50, 27-KA50",(none found in extraction — verify),,,proposed
27-CS51-section,"27-CS51, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CX54, 27-CZ50, 27-KA50",(none found in extraction — verify),,,proposed
27-CS51-section,"27-CS51, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CX54, 27-CZ50, 27-KA50",(none found in extraction — verify),,,proposed
27-CS51-section,"27-CS51, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CX54, 27-CZ50, 27-KA50",(none found in extraction — verify),,,proposed
27-CZ51-section,"27-CZ51, 53-4543WD, 53-4544WD, 53-4545WD",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4599WS, 69-4600OL",(none found in extraction — verify),,,proposed
27-CZ51-section,"27-CZ51, 53-4543WD, 53-4544WD, 53-4545WD",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4599WS, 69-4600OL",(none found in extraction — verify),,,proposed
27-CZ51-section,"27-CZ51, 53-4543WD, 53-4544WD, 53-4545WD",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4599WS, 69-4600OL",(none found in extraction — verify),,,proposed
27-CZ51-section,"27-CZ51, 53-4543WD, 53-4544WD, 53-4545WD",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4599WS, 69-4600OL",(none found in extraction — verify),,,proposed
27-KA50-section,"27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50",(none found in extraction — verify),,,proposed
27-KA50-section,"27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50",(none found in extraction — verify),,,proposed
27-KA50-section,"27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50",(none found in extraction — verify),,,proposed
27-KA50-section,"27-KA50, 50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 69-4600OL",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50",(none found in extraction — verify),,,proposed
81-EG50-section,"50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 81-EG50",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 69-4600OL",(none found in extraction — verify),,,proposed
81-EG50-section,"50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 81-EG50",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 69-4600OL",(none found in extraction — verify),,,proposed
81-EG50-section,"50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 81-EG50",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 69-4600OL",(none found in extraction — verify),,,proposed
81-EG50-section,"50-4552WS, 50-4575WS, 50-4576WS, 50-4577WS, 50-4580WS, 50-4599WS, 81-EG50",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-CB59, 27-CB60, 27-CB61, 27-CB62, 27-CS51, 27-CX54, 27-CZ50, 27-KA50, 69-4600OL",(none found in extraction — verify),,,proposed
