node,node_members,parameter,deviation,causes,consequences,safeguards,severity,likelihood,risk,recommendation,action_party,status
loop 24-2001,"24-PDI2001, 24-PI2001, 24-PT2001",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2001,"24-PDI2001, 24-PI2001, 24-PT2001",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2100,"24-FIC2100, 24-FT2100, 24-FV2100, 24-FY2100",Flow,No flow,24-FIC2100: wrong output; 24-FIC2100: tuning drift; 24-FV2100: sticks; 24-FV2100: wrong position; blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 24-FIC2100, 24-FV2100, 24-FY2100",(none found in extraction — verify),,,,,,proposed
loop 24-2100,"24-FIC2100, 24-FT2100, 24-FV2100, 24-FY2100",Flow,Low flow,24-FIC2100: wrong output; 24-FIC2100: tuning drift; 24-FV2100: sticks; 24-FV2100: wrong position; partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 24-FIC2100, 24-FV2100, 24-FY2100",(none found in extraction — verify),,,,,,proposed
loop 24-2100,"24-FIC2100, 24-FT2100, 24-FV2100, 24-FY2100",Flow,High flow,24-FIC2100: wrong output; 24-FIC2100: tuning drift; 24-FV2100: sticks; 24-FV2100: wrong position; control valve fully open (generic),"possible downstream overload (generic); functions affected: 24-FIC2100, 24-FV2100, 24-FY2100",(none found in extraction — verify),,,,,,proposed
loop 24-2100,"24-FIC2100, 24-FT2100, 24-FV2100, 24-FY2100",Flow,Reverse flow,24-FIC2100: wrong output; 24-FIC2100: tuning drift; 24-FV2100: sticks; 24-FV2100: wrong position; check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 24-FIC2100, 24-FV2100, 24-FY2100",(none found in extraction — verify),,,,,,proposed
loop 24-2159,"24-PI2159, 24-PT2159",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2159,"24-PI2159, 24-PT2159",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2160,"24-PI2160, 24-PT2160",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2160,"24-PI2160, 24-PT2160",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,,,,proposed
loop 24-2162,"24-LIC2162, 24-LIC2162A, 24-LIC2162B, 24-LV2162A, 24-LV2162B, 24-LY2162A, 24-LY2162B",Level,High level,24-LIC2162: wrong output; 24-LIC2162: tuning drift; 24-LIC2162A: wrong output; 24-LIC2162A: tuning drift; 24-LIC2162B: wrong output; 24-LIC2162B: tuning drift; outlet restriction (generic); inflow exceeds outflow (generic),"possible carry-over / overfill (generic); functions affected: 24-LIC2162, 24-LIC2162A, 24-LIC2162B, 24-LV2162A, 24-LV2162B, 24-LY2162A, 24-LY2162B",(none found in extraction — verify),,,,,,proposed
loop 24-2162,"24-LIC2162, 24-LIC2162A, 24-LIC2162B, 24-LV2162A, 24-LV2162B, 24-LY2162A, 24-LY2162B",Level,Low level,24-LIC2162: wrong output; 24-LIC2162: tuning drift; 24-LIC2162A: wrong output; 24-LIC2162A: tuning drift; 24-LIC2162B: wrong output; 24-LIC2162B: tuning drift; loss of feed (generic); excess drainage (generic),"possible gas blow-by to downstream (generic); functions affected: 24-LIC2162, 24-LIC2162A, 24-LIC2162B, 24-LV2162A, 24-LV2162B, 24-LY2162A, 24-LY2162B",(none found in extraction — verify),,,,,,proposed
loop 24-2163,"24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B; safety functions in node: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B","24-XV2163A (⚠ same loop — verify independence), 24-XV2163B (⚠ same loop — verify independence)",,,,,,proposed
loop 24-2163,"24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B; safety functions in node: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B","24-XV2163A (⚠ same loop — verify independence), 24-XV2163B (⚠ same loop — verify independence)",,,,,,proposed
loop 24-2163,"24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B; safety functions in node: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B","24-XV2163A (⚠ same loop — verify independence), 24-XV2163B (⚠ same loop — verify independence)",,,,,,proposed
loop 24-2163,"24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-XY2163A, 24-XY2163B; safety functions in node: 24-HS2163, 24-HS2163A, 24-HS2163B, 24-XV2163A, 24-XV2163B, 24-ZL2163A, 24-ZL2163B, 24-ZS2163A, 24-ZS2163B","24-XV2163A (⚠ same loop — verify independence), 24-XV2163B (⚠ same loop — verify independence)",,,,,,proposed
