node,node_members,parameter,deviation,causes,consequences,safeguards,recommendation,action_party,status
loop 27-4250,"27-PT4250A, 27-PT4250B",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4250,"27-PT4250A, 27-PT4250B",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4252,"27-PT4252A, 27-PT4252B",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4252,"27-PT4252A, 27-PT4252B",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4801,"27-FI4801, 27-FT4801",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),loss of process function (generic),(none found in extraction — verify),,,proposed
loop 27-4801,"27-FI4801, 27-FT4801",Flow,Low flow,partial blockage / fouling (generic),reduced capacity (generic),(none found in extraction — verify),,,proposed
loop 27-4801,"27-FI4801, 27-FT4801",Flow,High flow,control valve fully open (generic),possible downstream overload (generic),(none found in extraction — verify),,,proposed
loop 27-4801,"27-FI4801, 27-FT4801",Flow,Reverse flow,check-valve failure / pressure reversal (generic),possible contamination / backflow to upstream (generic),(none found in extraction — verify),,,proposed
loop 27-4803,"27-PIC4803, 27-PT4803, 27-PV4803, 27-PY4803",Pressure,High pressure,27-PIC4803: wrong output; 27-PIC4803: tuning drift; 27-PV4803: sticks; 27-PV4803: wrong position; blocked outlet (generic); upstream pressure source (generic),"possible overpressure of section (generic); functions affected: 27-PIC4803, 27-PV4803, 27-PY4803",(none found in extraction — verify),,,proposed
loop 27-4803,"27-PIC4803, 27-PT4803, 27-PV4803, 27-PY4803",Pressure,Low pressure,27-PIC4803: wrong output; 27-PIC4803: tuning drift; 27-PV4803: sticks; 27-PV4803: wrong position; upstream supply loss (generic); leak / rupture (generic),"loss of process function / possible gas breakthrough (generic); functions affected: 27-PIC4803, 27-PV4803, 27-PY4803",(none found in extraction — verify),,,proposed
loop 27-4804,"27-PI4804, 27-PT4804",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4804,"27-PI4804, 27-PT4804",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4805,"27-PI4805, 27-PT4805",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4805,"27-PI4805, 27-PT4805",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4806,"27-TI4806, 27-TT4806",Temperature,High temperature,loss of cooling (generic),possible material/design-limit exceedance (generic),(none found in extraction — verify),,,proposed
loop 27-4806,"27-TI4806, 27-TT4806",Temperature,Low temperature,JT-cooling on depressurisation (generic); loss of heating (generic),possible hydrate formation / brittle fracture risk (generic),(none found in extraction — verify),,,proposed
loop 27-4807,"27-PI4807, 27-PT4807",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
