node,node_members,parameter,deviation,causes,consequences,safeguards,severity,likelihood,risk,recommendation,action_party,status
loop 45-4804,"45-HS4804, 45-PT4804, 45-XV4804, 45-XY4804, 45-ZL4804, 45-ZS4804",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),"possible overpressure of section (generic); functions affected: 45-HS4804, 45-XV4804, 45-XY4804; safety functions in node: 45-HS4804, 45-XV4804, 45-ZL4804, 45-ZS4804",45-XV4804 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4804,"45-HS4804, 45-PT4804, 45-XV4804, 45-XY4804, 45-ZL4804, 45-ZS4804",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),"loss of process function / possible gas breakthrough (generic); functions affected: 45-HS4804, 45-XV4804, 45-XY4804; safety functions in node: 45-HS4804, 45-XV4804, 45-ZL4804, 45-ZS4804",45-XV4804 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4805,"45-HS4805, 45-PT4805, 45-XV4805, 45-XY4805, 45-ZL4805, 45-ZS4805",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),"possible overpressure of section (generic); functions affected: 45-HS4805, 45-XV4805, 45-XY4805; safety functions in node: 45-HS4805, 45-XV4805, 45-ZL4805, 45-ZS4805",45-XV4805 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4805,"45-HS4805, 45-PT4805, 45-XV4805, 45-XY4805, 45-ZL4805, 45-ZS4805",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),"loss of process function / possible gas breakthrough (generic); functions affected: 45-HS4805, 45-XV4805, 45-XY4805; safety functions in node: 45-HS4805, 45-XV4805, 45-ZL4805, 45-ZS4805",45-XV4805 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4806,"45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B, 45-ZL4806, 45-ZS4806",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B; safety functions in node: 45-XV4806, 45-XV4806, 45-ZL4806, 45-ZS4806",45-XV4806 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4806,"45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B, 45-ZL4806, 45-ZS4806",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B; safety functions in node: 45-XV4806, 45-XV4806, 45-ZL4806, 45-ZS4806",45-XV4806 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4806,"45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B, 45-ZL4806, 45-ZS4806",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B; safety functions in node: 45-XV4806, 45-XV4806, 45-ZL4806, 45-ZS4806",45-XV4806 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4806,"45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B, 45-ZL4806, 45-ZS4806",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 45-XV4806, 45-XY4806, 45-XY4806A, 45-XY4806B; safety functions in node: 45-XV4806, 45-XV4806, 45-ZL4806, 45-ZS4806",45-XV4806 (⚠ same loop — verify independence),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),loss of process function (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Flow,Low flow,partial blockage / fouling (generic),reduced capacity (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Flow,High flow,control valve fully open (generic),possible downstream overload (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Flow,Reverse flow,check-valve failure / pressure reversal (generic),possible contamination / backflow to upstream (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Temperature,High temperature,loss of cooling (generic),possible material/design-limit exceedance (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4810,"45-FI4810, 45-PI4810A, 45-PI4810B, 45-TI4810A, 45-TI4810B",Temperature,Low temperature,JT-cooling on depressurisation (generic); loss of heating (generic),possible hydrate formation / brittle fracture risk (generic),(none found in extraction — verify),,,,,,proposed
loop 45-4831,"45-PT4831, 45-PV4831",Pressure,High pressure,45-PV4831: sticks; 45-PV4831: wrong position; blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic); functions affected: 45-PV4831,(none found in extraction — verify),,,,,,proposed
loop 45-4831,"45-PT4831, 45-PV4831",Pressure,Low pressure,45-PV4831: sticks; 45-PV4831: wrong position; upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic); functions affected: 45-PV4831,(none found in extraction — verify),,,,,,proposed
