system,tag,type,status
00,00-PB50B,PB,SCD_ONLY
00,00-TG50B,TG,SCD_ONLY
13,13-JB61,JB,BOTH
13,13-FE2275,FE,PID_ONLY
13,13-FE2278,FE,PID_ONLY
13,13-FI2275A,FI,PID_ONLY
13,13-FI2275B,FI,PID_ONLY
13,13-FI2275C,FI,PID_ONLY
13,13-HS2279,HS,PID_ONLY
13,13-HS2287,HS,PID_ONLY
13,13-HV2264,HV,PID_ONLY
13,13-HV2287,HV,PID_ONLY
13,13-PDI2014,PDI,PID_ONLY
13,13-PDI2260,PDI,PID_ONLY
13,13-PDI2299,PDI,PID_ONLY
13,13-PI2014,PI,PID_ONLY
13,13-PI2254A,PI,PID_ONLY
13,13-PI2254B,PI,PID_ONLY
13,13-PI2255A,PI,PID_ONLY
13,13-PI2255B,PI,PID_ONLY
13,13-PI2256A,PI,PID_ONLY
13,13-PI2256B,PI,PID_ONLY
13,13-PI2260A,PI,PID_ONLY
13,13-PI2260B,PI,PID_ONLY
13,13-PI2262A,PI,PID_ONLY
13,13-PI2262B,PI,PID_ONLY
13,13-PI2265,PI,PID_ONLY
13,13-PI2274,PI,PID_ONLY
13,13-PI2277,PI,PID_ONLY
13,13-PI2282,PI,PID_ONLY
13,13-PI2284,PI,PID_ONLY
13,13-PI2285,PI,PID_ONLY
13,13-PI2286,PI,PID_ONLY
13,13-PT2254,PT,PID_ONLY
13,13-PT2255,PT,PID_ONLY
13,13-PT2256,PT,PID_ONLY
13,13-PT2260,PT,PID_ONLY
13,13-PT2262,PT,PID_ONLY
13,13-PT2265,PT,PID_ONLY
13,13-PT2277,PT,PID_ONLY
13,13-SI2804,SI,PID_ONLY
13,13-SI2805,SI,PID_ONLY
13,13-SI2902,SI,PID_ONLY
13,13-SI3902,SI,PID_ONLY
13,13-SI3903,SI,PID_ONLY
13,13-TI2263,TI,PID_ONLY
13,13-TI2273,TI,PID_ONLY
13,13-TI2280,TI,PID_ONLY
13,13-TI2283,TI,PID_ONLY
13,13-TI2286,TI,PID_ONLY
13,13-TT2263,TT,PID_ONLY
13,13-TT2280,TT,PID_ONLY
13,13-XJ54,XJ,PID_ONLY
13,13-XV2271,XV,PID_ONLY
13,13-XV2272,XV,PID_ONLY
13,13-XV2279,XV,PID_ONLY
13,13-XY2252,XY,PID_ONLY
13,13-XY2253,XY,PID_ONLY
13,13-XY2279,XY,PID_ONLY
13,13-ZL2271,ZL,PID_ONLY
13,13-ZL2272,ZL,PID_ONLY
13,13-ZL2279,ZL,PID_ONLY
13,13-ZL2287,ZL,PID_ONLY
13,13-ZS2264,ZS,PID_ONLY
13,13-ZS2271,ZS,PID_ONLY
13,13-ZS2272,ZS,PID_ONLY
13,13-ZS2279,ZS,PID_ONLY
13,13-ZS2287,ZS,PID_ONLY
13,13-A05,A,SCD_ONLY
13,13-ESV2302,ESV,SCD_ONLY
13,13-ESV2303,ESV,SCD_ONLY
13,13-EY2251,EY,SCD_ONLY
13,13-EY2301,EY,SCD_ONLY
13,13-EY2351,EY,SCD_ONLY
13,13-EY2451,EY,SCD_ONLY
13,13-EY2501,EY,SCD_ONLY
13,13-EY2601,EY,SCD_ONLY
13,13-EY2654,EY,SCD_ONLY
13,13-EY2655,EY,SCD_ONLY
13,13-HS2349A,HS,SCD_ONLY
13,13-HS2350A,HS,SCD_ONLY
13,13-JB50,JB,SCD_ONLY
13,13-JB59,JB,SCD_ONLY
13,13-XJ55,XJ,SCD_ONLY
20,20-PA001,PA,BOTH
20,20-HS2007,HS,PID_ONLY
20,20-HS2008,HS,PID_ONLY
20,20-HS2009,HS,PID_ONLY
20,20-HS2015,HS,PID_ONLY
20,20-HS2202A,HS,PID_ONLY
20,20-HS2202B,HS,PID_ONLY
20,20-LI2005,LI,PID_ONLY
20,20-LIC2200,LIC,PID_ONLY
20,20-LIC2200A,LIC,PID_ONLY
20,20-LIC2200B,LIC,PID_ONLY
20,20-LT2005,LT,PID_ONLY
20,20-LT2200,LT,PID_ONLY
20,20-LV2200A,LV,PID_ONLY
20,20-LV2200B,LV,PID_ONLY
20,20-LY2200A,LY,PID_ONLY
20,20-LY2200B,LY,PID_ONLY
20,20-PI2012,PI,PID_ONLY
20,20-PI2018,PI,PID_ONLY
20,20-PI2019,PI,PID_ONLY
20,20-PI2176,PI,PID_ONLY
20,20-PSE2018,PSE,PID_ONLY
20,20-PSE2019,PSE,PID_ONLY
20,20-PSV2171,PSV,PID_ONLY
20,20-PT2012,PT,PID_ONLY
20,20-PT2018,PT,PID_ONLY
20,20-PT2019,PT,PID_ONLY
20,20-SI2806,SI,PID_ONLY
20,20-SI3003,SI,PID_ONLY
20,20-SI3316,SI,PID_ONLY
20,20-SI3318,SI,PID_ONLY
20,20-SI3701,SI,PID_ONLY
20,20-SI4201,SI,PID_ONLY
20,20-TAHH2060,TAHH,PID_ONLY
20,20-TI2001A,TI,PID_ONLY
20,20-TI2001B,TI,PID_ONLY
20,20-TI2010,TI,PID_ONLY
20,20-TT2001,TT,PID_ONLY
20,20-TT2010,TT,PID_ONLY
20,20-VA50,VA,PID_ONLY
20,20-XV2008,XV,PID_ONLY
20,20-XV2009,XV,PID_ONLY
20,20-XV2015,XV,PID_ONLY
20,20-XV2202A,XV,PID_ONLY
20,20-XV2202B,XV,PID_ONLY
20,20-XY2007,XY,PID_ONLY
20,20-XY2008,XY,PID_ONLY
20,20-XY2009,XY,PID_ONLY
20,20-ZL2007,ZL,PID_ONLY
20,20-ZL2008,ZL,PID_ONLY
20,20-ZL2009,ZL,PID_ONLY
20,20-ZL2015,ZL,PID_ONLY
20,20-ZS2008,ZS,PID_ONLY
20,20-ZS2009,ZS,PID_ONLY
20,20-ZS2015,ZS,PID_ONLY
20,20-HE50,HE,SCD_ONLY
20,20-PV2201,PV,SCD_ONLY
20,20-XY2001,XY,SCD_ONLY
21,21-ESV2152,ESV,PID_ONLY
21,21-VW50,VW,SCD_ONLY
24,24-PA001,PA,BOTH
24,24-AE2060,AE,PID_ONLY
24,24-FV2100,FV,PID_ONLY
24,24-HS2163A,HS,PID_ONLY
24,24-HS2163B,HS,PID_ONLY
24,24-LIC2162,LIC,PID_ONLY
24,24-LIC2162A,LIC,PID_ONLY
24,24-LIC2162B,LIC,PID_ONLY
24,24-LSH2005,LSH,PID_ONLY
