tag,type,category,source
27-HS4811,HS,logic,P&ID
27-HS4813,HS,logic,P&ID
27-HS4814,HS,logic,P&ID
27-HS4825,HS,logic,SCD
27-HS4826,HS,logic,P&ID
27-HS4828,HS,logic,P&ID
27-PSV4809,PSV,output,P&ID
27-PSV4810,PSV,output,P&ID
27-XV4813,XV,output,P&ID
27-XV4813,XV,output,SCD
27-XV4814,XV,output,P&ID
27-XV4814,XV,output,SCD
27-XV4826,XV,output,P&ID
27-XV4826,XV,output,SCD
27-XV4828,XV,output,P&ID
27-XV4828,XV,output,SCD
27-ZL4813,ZL,input,P&ID
27-ZL4814,ZL,input,P&ID
27-ZL4826,ZL,input,P&ID
27-ZL4828,ZL,input,P&ID
27-ZS4813,ZS,input,P&ID
27-ZS4814,ZS,input,P&ID
27-ZS4826,ZS,input,P&ID
27-ZS4828,ZS,input,P&ID
63-XV4800,XV,output,SCD
