tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
00-PB50B,00,PB,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
00-TG50B,00,TG,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
13-A05,13,A,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-ESV2302,13,ESV,other,SCD_ONLY,0,2,,C025-W-HO13-J-_E-001-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-ESV2303,13,ESV,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-EY2251,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2301,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2351,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2451,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2501,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2601,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2654,13,EY,other,SCD_ONLY,0,2,,C025-W-HO00-J-_E-020-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-EY2655,13,EY,other,SCD_ONLY,0,2,,C025-W-HO00-J-_E-020-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-FE2275,13,FE,flow_element,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FE2278,13,FE,flow_element,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FI2275A,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FI2275B,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FI2275C,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2279,13,HS,hand_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2287,13,HS,hand_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2349A,13,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO13-J-_E-002-01.PDF
13-HS2350A,13,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO13-J-_E-002-01.PDF
13-HV2264,13,HV,hand_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HV2287,13,HV,hand_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-JB50,13,JB,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-002-01.PDF
13-JB59,13,JB,other,SCD_ONLY,0,1,,C025-W-HO85-J-_E-001-01.PDF
13-JB61,13,JB,other,BOTH,1,1,C025-W-HO13-P-_E-004-01.PDF,C025-W-HO13-J-_E-002-01.PDF
13-PDI2014,13,PDI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PDI2260,13,PDI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PDI2299,13,PDI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2014,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2254A,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2254B,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2255A,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2255B,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2256A,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2256B,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2260A,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2260B,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2262A,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2262B,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2265,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2274,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2277,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2282,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-PI2284,13,PI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
