tag,system,type,number,category,source
20-PV2201,20,PV,2201,output,SCD
27-FI4801,27,FI,4801,input,P&ID
27-FO4827,27,FO,4827,output,P&ID
27-FO4829,27,FO,4829,output,P&ID
27-FT0848,27,FT,0848,input,SCD
27-FT4801,27,FT,4801,input,P&ID
27-FV4811,27,FV,4811,output,P&ID
27-FY4811A,27,FY,4811,logic,P&ID
27-FY4811B,27,FY,4811,logic,P&ID
27-FY4811C,27,FY,4811,logic,P&ID
27-HS4811,27,HS,4811,logic,P&ID
27-HS4813,27,HS,4813,logic,P&ID
27-HS4814,27,HS,4814,logic,P&ID
27-HS4825,27,HS,4825,logic,SCD
27-HS4826,27,HS,4826,logic,P&ID
27-HS4828,27,HS,4828,logic,P&ID
27-LSL0548,27,LSL,0548,input,SCD
27-LSL548,27,LSL,548,input,SCD
27-PDI4812,27,PDI,4812,input,P&ID
27-PDT4812,27,PDT,4812,input,P&ID
27-PDT4812,27,PDT,4812,input,SCD
27-PI4804,27,PI,4804,input,P&ID
27-PI4805,27,PI,4805,input,P&ID
27-PI4807,27,PI,4807,input,P&ID
27-PI4823,27,PI,4823,input,P&ID
27-PIC4111,27,PIC,4111,logic,SCD
27-PIC4803,27,PIC,4803,logic,P&ID
27-PIC4825A,27,PIC,4825,logic,P&ID
27-PIC4825A,27,PIC,4825,logic,SCD
27-PIC4825B,27,PIC,4825,logic,P&ID
27-PIC4825C,27,PIC,4825,logic,P&ID
27-PIC4825C,27,PIC,4825,logic,SCD
27-PSE4254,27,PSE,4254,input,P&ID
27-PSE4255,27,PSE,4255,input,P&ID
27-PSV4809,27,PSV,4809,output,P&ID
27-PSV4810,27,PSV,4810,output,P&ID
27-PT4250A,27,PT,4250,input,P&ID
27-PT4250A,27,PT,4250,input,SCD
27-PT4250B,27,PT,4250,input,SCD
27-PT4252A,27,PT,4252,input,P&ID
27-PT4552B,27,PT,4552,input,SCD
27-PT4803,27,PT,4803,input,P&ID
27-PT4803,27,PT,4803,input,SCD
27-PT4804,27,PT,4804,input,P&ID
27-PT4804,27,PT,4804,input,SCD
27-PT4805,27,PT,4805,input,P&ID
27-PT4805,27,PT,4805,input,SCD
27-PT4807,27,PT,4807,input,P&ID
27-PT4823,27,PT,4823,input,P&ID
27-PT4825,27,PT,4825,input,P&ID
27-PT4825,27,PT,4825,input,SCD
27-PV4803,27,PV,4803,output,P&ID
27-PY4803,27,PY,4803,logic,P&ID
27-TI4806,27,TI,4806,input,P&ID
27-TT4806,27,TT,4806,input,P&ID
27-TT4806,27,TT,4806,input,SCD
27-XV4813,27,XV,4813,output,P&ID
27-XV4813,27,XV,4813,output,SCD
27-XV4814,27,XV,4814,output,P&ID
27-XV4814,27,XV,4814,output,SCD
27-XV4826,27,XV,4826,output,P&ID
27-XV4826,27,XV,4826,output,SCD
27-XV4828,27,XV,4828,output,P&ID
27-XV4828,27,XV,4828,output,SCD
27-XY4813,27,XY,4813,logic,P&ID
27-XY4814,27,XY,4814,logic,P&ID
27-XY4826,27,XY,4826,logic,P&ID
27-XY4828,27,XY,4828,logic,P&ID
27-ZL4813,27,ZL,4813,input,P&ID
27-ZL4814,27,ZL,4814,input,P&ID
27-ZL4826,27,ZL,4826,input,P&ID
27-ZL4828,27,ZL,4828,input,P&ID
27-ZS4813,27,ZS,4813,input,P&ID
27-ZS4814,27,ZS,4814,input,P&ID
27-ZS4826,27,ZS,4826,input,P&ID
27-ZS4828,27,ZS,4828,input,P&ID
63-XV4800,63,XV,4800,output,SCD
