drawing,channel,truth,extracted,tp,missed,extra,precision,recall,f1,recall_ex_nozzle
C025-V-HA24-P-_E-001-01.PDF,text,45,42,35,10,7,0.833,0.778,0.805,0.854
C025-V-HA24-P-_E-001-01.PDF,vision,45,12,12,33,0,1.0,0.267,0.421,0.293
C025-V-HA24-P-_E-001-01.PDF,union,45,42,35,10,7,0.833,0.778,0.805,0.854
C025-V-HO27-P-_E-001-01.PDF,text,92,69,62,30,7,0.899,0.674,0.77,0.689
C025-V-HO27-P-_E-001-01.PDF,vision,92,35,31,61,4,0.886,0.337,0.488,0.344
C025-V-HO27-P-_E-001-01.PDF,union,92,71,62,30,9,0.873,0.674,0.761,0.689
C025-V-HO27-P-_E-002-01.PDF,text,96,58,26,70,32,0.448,0.271,0.338,0.283
C025-V-HO27-P-_E-002-01.PDF,vision,96,32,20,76,12,0.625,0.208,0.312,0.217
C025-V-HO27-P-_E-002-01.PDF,union,96,79,40,56,39,0.506,0.417,0.457,0.435
C025-V-HO27-P-_E-003-01.PDF,text,108,26,25,83,1,0.962,0.231,0.373,0.862
C025-V-HO27-P-_E-003-01.PDF,vision,108,16,15,93,1,0.938,0.139,0.242,0.517
C025-V-HO27-P-_E-003-01.PDF,union,108,27,25,83,2,0.926,0.231,0.37,0.862
C025-V-HO45-P-_F-001-01.PDF,text,72,39,38,34,1,0.974,0.528,0.685,0.745
C025-V-HO45-P-_F-001-01.PDF,vision,72,16,9,63,7,0.562,0.125,0.205,0.176
C025-V-HO45-P-_F-001-01.PDF,union,72,49,41,31,8,0.837,0.569,0.678,0.804
C025-V-HO63-P-_U-001-01.PDF,text,29,16,15,14,1,0.938,0.517,0.667,0.6
C025-V-HO63-P-_U-001-01.PDF,vision,29,18,18,11,0,1.0,0.621,0.766,0.72
C025-V-HO63-P-_U-001-01.PDF,union,29,22,21,8,1,0.955,0.724,0.824,0.84
C025-V-HO64-P-_U-001-01.PDF,text,11,3,2,9,1,0.667,0.182,0.286,1.0
C025-V-HO64-P-_U-001-01.PDF,vision,11,3,2,9,1,0.667,0.182,0.286,1.0
C025-V-HO64-P-_U-001-01.PDF,union,11,3,2,9,1,0.667,0.182,0.286,1.0
C025-V-HO71-P-_W-001-01.PDF,text,1,1,1,0,0,1.0,1.0,1.0,1.0
C025-V-HO71-P-_W-001-01.PDF,vision,1,1,1,0,0,1.0,1.0,1.0,1.0
C025-V-HO71-P-_W-001-01.PDF,union,1,1,1,0,0,1.0,1.0,1.0,1.0
C025-W-HO11-P-_E-001-01.PDF,text,6,0,0,6,0,0.0,0.0,0.0,0.0
C025-W-HO11-P-_E-001-01.PDF,vision,6,6,6,0,0,1.0,1.0,1.0,1.0
C025-W-HO11-P-_E-001-01.PDF,union,6,6,6,0,0,1.0,1.0,1.0,1.0
C025-W-HO13-P-_E-004-01.PDF,text,134,87,87,47,0,1.0,0.649,0.787,0.707
C025-W-HO13-P-_E-004-01.PDF,vision,134,0,0,134,0,0.0,0.0,0.0,0.0
C025-W-HO13-P-_E-004-01.PDF,union,134,87,87,47,0,1.0,0.649,0.787,0.707
C025-W-HO20-P-_E-001-01.PDF,text,45,21,20,25,1,0.952,0.444,0.606,0.444
C025-W-HO20-P-_E-001-01.PDF,vision,45,16,3,42,13,0.188,0.067,0.098,0.067
C025-W-HO20-P-_E-001-01.PDF,union,45,36,22,23,14,0.611,0.489,0.543,0.489
C025-W-HO20-P-_E-002-01.PDF,text,123,69,54,69,15,0.783,0.439,0.562,0.47
C025-W-HO20-P-_E-002-01.PDF,vision,123,42,38,85,4,0.905,0.309,0.461,0.33
C025-W-HO20-P-_E-002-01.PDF,union,123,89,70,53,19,0.787,0.569,0.66,0.609
C025-W-HO63-P-_U-005-01.PDF,text,48,47,45,3,2,0.957,0.938,0.947,0.957
C025-W-HO63-P-_U-005-01.PDF,vision,48,41,40,8,1,0.976,0.833,0.899,0.851
C025-W-HO63-P-_U-005-01.PDF,union,48,50,47,1,3,0.94,0.979,0.959,1.0
C025-W-HO64-P-_U-001-01.PDF,text,71,67,64,7,3,0.955,0.901,0.928,0.901
C025-W-HO64-P-_U-001-01.PDF,vision,71,54,53,18,1,0.981,0.746,0.848,0.746
C025-W-HO64-P-_U-001-01.PDF,union,71,75,71,0,4,0.947,1.0,0.973,1.0
C025-W-HO71-P-_W-001-01.PDF,text,82,66,63,19,3,0.955,0.768,0.851,0.808
C025-W-HO71-P-_W-001-01.PDF,vision,82,32,27,55,5,0.844,0.329,0.474,0.346
C025-W-HO71-P-_W-001-01.PDF,union,82,79,71,11,8,0.899,0.866,0.882,0.91
C025-W-HO82-P-_U-001-01.PDF,text,64,40,26,38,14,0.65,0.406,0.5,0.51
C025-W-HO82-P-_U-001-01.PDF,vision,64,8,0,64,8,0.0,0.0,0.0,0.0
C025-W-HO82-P-_U-001-01.PDF,union,64,48,26,38,22,0.542,0.406,0.464,0.51
TOTAL,text,1027,651,563,464,88,0.865,0.548,0.671,0.652
TOTAL,vision,1027,332,275,752,57,0.828,0.268,0.405,0.314
TOTAL,union,1027,764,627,400,137,0.821,0.611,0.7,0.722
