system,common,pid_only,scd_only,pct_common
00,0,0,15,0.0
13,1,81,28,0.9
20,1,107,19,0.8
21,0,1,4,0.0
24,3,37,10,6.0
27,19,102,65,10.2
40,0,2,0,0.0
42,0,8,38,0.0
43,0,9,24,0.0
45,6,30,58,6.4
50,2,31,11,4.5
53,0,1,8,0.0
56,0,2,1,0.0
57,0,4,0,0.0
62,0,2,27,0.0
63,1,58,4,1.6
64,0,69,18,0.0
65,0,8,0,0.0
69,0,7,0,0.0
70,0,0,3,0.0
71,0,58,5,0.0
72,0,1,0,0.0
73,0,0,2,0.0
74,0,0,2,0.0
75,0,2,0,0.0
76,0,0,4,0.0
77,0,1,93,0.0
79,0,0,13,0.0
81,0,1,4,0.0
82,0,54,53,0.0
85,0,0,39,0.0
86,0,0,3,0.0
87,0,0,6,0.0
