tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
00-HS2015H,00,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO00-J-_E-040-01.PDF
00-HS79,00,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO00-J-_E-040-01.PDF
00-LSL20,00,LSL,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
00-PB50B,00,PB,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
00-TG50B,00,TG,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
00-TT5010,00,TT,transmitter,SCD_ONLY,0,1,,C025-W-HO00-J-_E-021-01.PDF
00-TT6212,00,TT,transmitter,SCD_ONLY,0,1,,C025-W-HO00-J-_E-021-01.PDF
00-TT7212,00,TT,transmitter,SCD_ONLY,0,1,,C025-W-HO00-J-_E-021-01.PDF
00-TT8022,00,TT,transmitter,SCD_ONLY,0,1,,C025-W-HO00-J-_E-021-01.PDF
00-TT8302,00,TT,transmitter,SCD_ONLY,0,1,,C025-W-HO00-J-_E-021-01.PDF
00-XY20,00,XY,relay,SCD_ONLY,0,1,,C025-W-HO00-J-_E-040-01.PDF
00-XY2014F,00,XY,relay,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
00-XY2215,00,XY,relay,SCD_ONLY,0,1,,C025-W-HO00-J-_E-040-01.PDF
00-XY2216,00,XY,relay,SCD_ONLY,0,1,,C025-W-HO00-J-_E-040-01.PDF
00-ZS00,00,ZS,position_switch,SCD_ONLY,0,1,,C025-W-HO00-J-_E-030-01.PDF
13-2010PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2024PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2025PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2077PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2094PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2104PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
13-2125PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2156PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2386PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2392PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2395PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2398PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2423PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2424PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2425PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2429PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2430PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2431PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2442PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2443PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2444PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2445PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2446PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2447PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-2448PT,13,PT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ESV2302,13,ESV,other,SCD_ONLY,0,2,,C025-W-HO13-J-_E-001-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-ESV2303,13,ESV,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-EY2251,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2301,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2351,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2451,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2501,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2601,13,EY,other,SCD_ONLY,0,1,,C025-W-HO00-J-_E-020-01.PDF
13-EY2654,13,EY,other,SCD_ONLY,0,2,,C025-W-HO00-J-_E-020-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-EY2655,13,EY,other,SCD_ONLY,0,2,,C025-W-HO00-J-_E-020-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-FI2275A,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FI2275B,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-FI2275C,13,FI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2002,13,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-HS2279,13,HS,hand_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2287,13,HS,hand_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-HS2303,13,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO13-J-_E-002-01.PDF
